Date Valued,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month
2017-05-26,Liquid Fund,12421679240.96,75247393.74,165.0779,165.0779,165.0779,2017,5
2017-05-26,Liquid Fund,12421679240.96,75247393.74,165.0779,165.0779,165.0779,2017,5
2017-05-25,Umoja Fund,196652124983.7,404680142.81,485.9446,485.9446,481.0851,2017,5
2017-05-25,Umoja Fund,196652124983.7,404680142.81,485.9446,485.9446,481.0851,2017,5
2017-05-25,Wekeza Maisha Fund,3715873089.57,11613114.95,319.9721,319.9721,313.5727,2017,5
2017-05-25,Wekeza Maisha Fund,3715873089.57,11613114.95,319.9721,319.9721,313.5727,2017,5
2017-05-25,Watoto Fund,3333547061.14,11725469.89,284.2997,284.2997,281.4567,2017,5
2017-05-25,Watoto Fund,3333547061.14,11725469.89,284.2997,284.2997,281.4567,2017,5
2017-05-25,Jikimu Fund,22618370696.51,183028832.42,123.5782,123.5782,121.1066,2017,5
2017-05-25,Jikimu Fund,22618370696.51,183028832.42,123.5782,123.5782,121.1066,2017,5
2017-05-25,Liquid Fund,12398496603.48,75135328.22,165.0155,165.0155,165.0155,2017,5
2017-05-25,Liquid Fund,12398496603.48,75135328.22,165.0155,165.0155,165.0155,2017,5
2017-05-24,Umoja Fund,196794539568.06,405067245.52,485.8318,485.8318,480.9735,2017,5
2017-05-24,Umoja Fund,196794539568.06,405067245.52,485.8318,485.8318,480.9735,2017,5
2017-05-24,Wekeza Maisha Fund,3716293761.68,11617138.88,319.8975,319.8975,313.4996,2017,5
2017-05-24,Wekeza Maisha Fund,3716293761.68,11617138.88,319.8975,319.8975,313.4996,2017,5
2017-05-24,Watoto Fund,3334010088.96,11729741.51,284.2356,284.2356,281.3932,2017,5
2017-05-24,Watoto Fund,3334010088.96,11729741.51,284.2356,284.2356,281.3932,2017,5
2017-05-24,Jikimu Fund,22618799219.55,183087246.96,123.5411,123.5411,121.0703,2017,5
2017-05-24,Jikimu Fund,22618799219.55,183087246.96,123.5411,123.5411,121.0703,2017,5
2017-05-24,Liquid Fund,12405853992.38,75208592.18,164.9526,164.9526,164.9526,2017,5
2017-05-24,Liquid Fund,12405853992.38,75208592.18,164.9526,164.9526,164.9526,2017,5
2017-05-23,Umoja Fund,196742656668.3,405054986.08,485.7184,485.7184,480.8612,2017,5
2017-05-23,Umoja Fund,196742656668.3,405054986.08,485.7184,485.7184,480.8612,2017,5
2017-05-23,Wekeza Maisha Fund,3715312240.26,11616779.31,319.8229,319.8229,313.4265,2017,5
2017-05-23,Wekeza Maisha Fund,3715312240.26,11616779.31,319.8229,319.8229,313.4265,2017,5
2017-05-23,Watoto Fund,3330959816.48,11721646.88,284.1717,284.1717,281.3299,2017,5
2017-05-23,Watoto Fund,3330959816.48,11721646.88,284.1717,284.1717,281.3299,2017,5
2017-05-23,Jikimu Fund,22611677400.81,183085627.58,123.5033,123.5033,121.0332,2017,5
2017-05-23,Jikimu Fund,22611677400.81,183085627.58,123.5033,123.5033,121.0332,2017,5
2017-05-23,Liquid Fund,12401128640.6,75208592.18,164.8898,164.8898,164.8898,2017,5
2017-05-23,Liquid Fund,12401128640.6,75208592.18,164.8898,164.8898,164.8898,2017,5
2017-05-22,Umoja Fund,196692370214.92,405046023.83,485.605,485.605,480.7489,2017,5
2017-05-22,Umoja Fund,196692370214.92,405046023.83,485.605,485.605,480.7489,2017,5
2017-05-22,Wekeza Maisha Fund,3714044683.94,11615526.95,319.7483,319.7483,313.3533,2017,5
2017-05-22,Wekeza Maisha Fund,3714044683.94,11615526.95,319.7483,319.7483,313.3533,2017,5
2017-05-22,Watoto Fund,3329202908.4,11718074.3,284.1084,284.1084,281.2673,2017,5
2017-05-22,Watoto Fund,3329202908.4,11718074.3,284.1084,284.1084,281.2673,2017,5
2017-05-22,Jikimu Fund,22582859534.1,182907573.85,123.466,123.466,120.9966,2017,5
2017-05-22,Jikimu Fund,22582859534.1,182907573.85,123.466,123.466,120.9966,2017,5
2017-05-22,Liquid Fund,12349896366.36,74926432.29,164.827,164.827,164.827,2017,5
2017-05-22,Liquid Fund,12349896366.36,74926432.29,164.827,164.827,164.827,2017,5
2017-05-19,Umoja Fund,196595209070.42,405197728.36,485.1834,485.1834,480.3316,2017,5
2017-05-19,Umoja Fund,196595209070.42,405197728.36,485.1834,485.1834,480.3316,2017,5
2017-05-19,Wekeza Maisha Fund,3709814358.59,11613216.48,319.4476,319.4476,313.0587,2017,5
2017-05-19,Wekeza Maisha Fund,3709814358.59,11613216.48,319.4476,319.4476,313.0587,2017,5
2017-05-19,Watoto Fund,3332944754.6,11744307.8,283.7924,283.7924,280.9544,2017,5
2017-05-19,Watoto Fund,3332944754.6,11744307.8,283.7924,283.7924,280.9544,2017,5
2017-05-19,Jikimu Fund,22558996128.68,182944043.01,123.3109,123.3109,120.8447,2017,5
2017-05-19,Jikimu Fund,22558996128.68,182944043.01,123.3109,123.3109,120.8447,2017,5
2017-05-19,Liquid Fund,12349171767.29,75037665.37,164.573,164.573,164.573,2017,5
2017-05-19,Liquid Fund,12349171767.29,75037665.37,164.573,164.573,164.573,2017,5
2017-05-18,Umoja Fund,198093095079.96,405197893.92,488.8799,488.8799,483.9911,2017,5
2017-05-18,Umoja Fund,198093095079.96,405197893.92,488.8799,488.8799,483.9911,2017,5
2017-05-18,Wekeza Maisha Fund,3734937873.42,11611993.46,321.6448,321.6448,315.212,2017,5
2017-05-18,Wekeza Maisha Fund,3734937873.42,11611993.46,321.6448,321.6448,315.212,2017,5
2017-05-18,Watoto Fund,3355369271.34,11743520.14,285.7209,285.7209,282.8637,2017,5
2017-05-18,Watoto Fund,3355369271.34,11743520.14,285.7209,285.7209,282.8637,2017,5
2017-05-18,Jikimu Fund,22621955282.09,182978780.52,123.6316,123.6316,121.1589,2017,5
2017-05-18,Jikimu Fund,22621955282.09,182978780.52,123.6316,123.6316,121.1589,2017,5
2017-05-18,Liquid Fund,12319575022.16,74885700.5,164.5117,164.5117,164.5117,2017,5
2017-05-18,Liquid Fund,12319575022.16,74885700.5,164.5117,164.5117,164.5117,2017,5
2017-05-17,Umoja Fund,198054879890.78,405213317.5,488.767,488.767,483.8793,2017,5
2017-05-17,Umoja Fund,198054879890.78,405213317.5,488.767,488.767,483.8793,2017,5
2017-05-17,Wekeza Maisha Fund,3733809268.52,11611225.34,321.5689,321.5689,315.1375,2017,5
2017-05-17,Wekeza Maisha Fund,3733809268.52,11611225.34,321.5689,321.5689,315.1375,2017,5
2017-05-17,Watoto Fund,3354460324.02,11742942.46,285.6576,285.6576,282.801,2017,5
2017-05-17,Watoto Fund,3354460324.02,11742942.46,285.6576,285.6576,282.801,2017,5
2017-05-17,Jikimu Fund,22631593063.03,183112591.48,123.5939,123.5939,121.122,2017,5
2017-05-17,Jikimu Fund,22631593063.03,183112591.48,123.5939,123.5939,121.122,2017,5
2017-05-17,Liquid Fund,12175207863.44,74035817.04,164.4502,164.4502,164.4502,2017,5
2017-05-17,Liquid Fund,12175207863.44,74035817.04,164.4502,164.4502,164.4502,2017,5
2017-05-16,Umoja Fund,198092836254.93,405383595.01,488.6553,488.6553,483.7687,2017,5
2017-05-16,Umoja Fund,198092836254.93,405383595.01,488.6553,488.6553,483.7687,2017,5
2017-05-16,Wekeza Maisha Fund,3732627864.8,11610292.2,321.493,321.493,315.0632,2017,5
2017-05-16,Wekeza Maisha Fund,3732627864.8,11610292.2,321.493,321.493,315.0632,2017,5
2017-05-16,Watoto Fund,3353261184.0,11741366.8,285.5938,285.5938,282.7378,2017,5
2017-05-16,Watoto Fund,3353261184.0,11741366.8,285.5938,285.5938,282.7378,2017,5
2017-05-16,Jikimu Fund,22653984358.27,183349755.03,123.5561,123.5561,121.085,2017,5
2017-05-16,Jikimu Fund,22653984358.27,183349755.03,123.5561,123.5561,121.085,2017,5
2017-05-16,Liquid Fund,12186595345.56,74133147.8,164.3879,164.3879,164.3879,2017,5
2017-05-16,Liquid Fund,12186595345.56,74133147.8,164.3879,164.3879,164.3879,2017,5
2017-05-15,Umoja Fund,198038135690.39,405367824.7,488.5394,488.5394,483.654,2017,5
2017-05-15,Umoja Fund,198038135690.39,405367824.7,488.5394,488.5394,483.654,2017,5
2017-05-15,Wekeza Maisha Fund,3731652969.14,11610001.89,321.4171,321.4171,314.9887,2017,5
2017-05-15,Wekeza Maisha Fund,3731652969.14,11610001.89,321.4171,321.4171,314.9887,2017,5
2017-05-15,Watoto Fund,3346751619.67,11721195.0,285.5299,285.5299,282.6746,2017,5
2017-05-15,Watoto Fund,3346751619.67,11721195.0,285.5299,285.5299,282.6746,2017,5
2017-05-15,Jikimu Fund,22646031649.93,183341300.42,123.5184,123.5184,121.0481,2017,5
2017-05-15,Jikimu Fund,22646031649.93,183341300.42,123.5184,123.5184,121.0481,2017,5
2017-05-15,Liquid Fund,12166561277.66,74039339.63,164.3256,164.3256,164.3256,2017,5
2017-05-15,Liquid Fund,12166561277.66,74039339.63,164.3256,164.3256,164.3256,2017,5
2017-05-12,Umoja Fund,197886880819.78,405346397.68,488.192,488.192,483.3101,2017,5
2017-05-12,Umoja Fund,197886880819.78,405346397.68,488.192,488.192,483.3101,2017,5
2017-05-12,Wekeza Maisha Fund,3728924613.95,11609737.25,321.1894,321.1894,314.7656,2017,5
2017-05-12,Wekeza Maisha Fund,3728924613.95,11609737.25,321.1894,321.1894,314.7656,2017,5
2017-05-12,Watoto Fund,3340696860.16,11707807.43,285.3392,285.3392,282.4858,2017,5
2017-05-12,Watoto Fund,3340696860.16,11707807.43,285.3392,285.3392,282.4858,2017,5
2017-05-12,Jikimu Fund,22575366044.61,182936132.75,123.4057,123.4057,120.9376,2017,5
2017-05-12,Jikimu Fund,22575366044.61,182936132.75,123.4057,123.4057,120.9376,2017,5
2017-05-12,Liquid Fund,12091794670.9,73667704.98,164.1397,164.1397,164.1397,2017,5
2017-05-12,Liquid Fund,12091794670.9,73667704.98,164.1397,164.1397,164.1397,2017,5
2017-05-11,Umoja Fund,197988515818.41,405687143.65,488.0325,488.0325,483.1522,2017,5
2017-05-11,Umoja Fund,197988515818.41,405687143.65,488.0325,488.0325,483.1522,2017,5
2017-05-11,Wekeza Maisha Fund,3727748558.71,11608820.45,321.1135,321.1135,314.6912,2017,5
2017-05-11,Wekeza Maisha Fund,3727748558.71,11608820.45,321.1135,321.1135,314.6912,2017,5
2017-05-11,Watoto Fund,3335647729.27,11692728.5,285.2754,285.2754,282.4226,2017,5
2017-05-11,Watoto Fund,3335647729.27,11692728.5,285.2754,285.2754,282.4226,2017,5
2017-05-11,Jikimu Fund,22649015898.66,183589514.77,123.3677,123.3677,120.9003,2017,5
2017-05-11,Jikimu Fund,22649015898.66,183589514.77,123.3677,123.3677,120.9003,2017,5
2017-05-11,Liquid Fund,12081410193.64,73632534.08,164.0768,164.0768,164.0768,2017,5
