Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday,Target_NAV
362164.10537129437,20.894573346233265,110.5129,110.5129,110.5129,2021,11,17,2,288246.09577746235
361536.53132346115,20.891418844878313,110.4782,110.4782,110.4782,2021,11,16,1,288461.44729204284
360587.42059122084,20.88647680887907,110.4433,110.4433,110.4433,2021,11,15,0,288244.3346856621
359996.113103225,20.884146883330654,110.3382,110.3382,110.3382,2021,11,12,4,287276.30282169115
359916.7064662601,20.884021632427494,110.3033,110.3033,110.3033,2021,11,11,3,286654.21066068433
359381.72325087705,20.881364294403685,110.2683,110.2683,110.2683,2021,11,10,2,286905.479195344
353359.3889966418,20.847878620165574,110.2338,110.2338,110.2338,2021,11,9,1,286369.48316220776
352130.21227375534,20.841234367779723,110.1979,110.1979,110.1979,2021,11,8,0,285730.30411814916
351348.7159301141,20.837716584943056,110.096,110.096,110.096,2021,11,5,4,285423.0004996444
351505.18606536946,20.838937466664348,110.0596,110.0596,110.0596,2021,11,4,3,285040.86524082825
351127.36783091974,20.83711518310567,110.0234,110.0234,110.0234,2021,11,3,2,284088.54259983805
349784.56494358066,20.829787608441606,109.9865,109.9865,109.9865,2021,11,2,1,284386.804028668
349219.40690140636,20.826875828036748,109.9511,109.9511,109.9511,2021,11,1,0,285364.6836973524
